company_name,high,low,last_price,prev_close,change,percent_gain
TBO Tek,"1,114.80","1,075.40","1,105.00","1,073.90",31.10,2.9
Bharat Elec,293.85,287.55,293.25,285.00,8.25,2.89
Poly Medicure,"2,225.80","2,148.90","2,203.10","2,141.55",61.55,2.87
Rashtriya Chem,128.53,126.70,128.48,124.90,3.58,2.87
Welspun Living,127.70,125.08,127.38,123.85,3.53,2.85
Escorts Kubota,"3,268.50","3,204.20","3,267.80","3,178.20",89.60,2.82
CAMS,"3,824.00","3,752.50","3,821.00","3,716.70",104.30,2.81
PVR INOX,941.70,921.55,941.45,915.70,25.75,2.81
TVS Supply,113.79,112.00,113.31,110.21,3.10,2.81
HDFC AMC,"4,106.70","4,006.00","4,098.80","3,987.25",111.55,2.8
New India Assur,160.80,157.25,160.54,156.28,4.26,2.73
Linde India,"6,071.00","5,911.50","6,056.00","5,895.45",160.55,2.72
Granules India,464.00,453.00,463.50,451.30,12.20,2.7
Rattanindia Ent,42.08,41.34,41.95,40.85,1.10,2.69
Natco Pharma,797.05,778.65,796.35,775.50,20.85,2.69
Axis Bank,"1,104.20","1,083.00","1,097.50","1,068.95",28.55,2.67
Schaeffler Ind,"3,131.00","3,060.00","3,123.00","3,042.65",80.35,2.64
Graphite India,467.40,456.90,463.75,451.80,11.95,2.64
Godawari Power,194.00,190.20,192.75,187.80,4.95,2.64
Godawari Power,194.00,190.20,192.75,187.80,4.95,2.64
JK Tyre Ind,292.30,286.95,291.55,284.05,7.50,2.64
Five-Star Busin,754.60,718.40,736.25,717.40,18.85,2.63
Nuvoco Vistas,323.45,315.05,322.60,314.45,8.15,2.59
Tejas Networks,869.05,844.40,859.40,837.80,21.60,2.58
HUDCO,221.37,217.35,221.35,215.81,5.54,2.57
Lupin,"2,030.00","1,980.30","2,019.80","1,969.25",50.55,2.57
COFORGE LTD.,"6,525.00","6,335.00","6,477.50","6,316.65",160.85,2.55
